FIPS,FIPS State Code,FIPS County Code,% Persons in Poverty (2013),Median Household Income (2013),"Unemployment Rate, 16+ (2014)",% 18-64 without Health Insurance (2013)
1000,1,0,18.9,42882,6.8,20.2
1001,1,1,13.5,51868,5.9,17.5
1003,1,3,14.2,47539,6.1,22.1
1005,1,5,28.2,30981,10.8,22.5
1007,1,7,23.1,39781,7.1,19
1009,1,9,17.2,44392,6.1,22.3
1011,1,11,35.2,25937,9.1,24.2
1013,1,13,28.8,31041,8.6,20.1
1015,1,15,21.4,37898,7.9,20.4
1017,1,17,22.5,33883,6.7,21.4
1019,1,19,20.1,37478,5.9,20.4
1021,1,21,20.3,41348,6.3,24.3
1023,1,23,22.4,33581,9.1,19.7
1025,1,25,25.4,34593,12.5,20.1
1027,1,27,19.6,33344,7.2,23.8
1029,1,29,18.9,40407,6.7,21
1031,1,31,18.5,44666,6.7,21.3
1033,1,33,16.3,40032,8.2,18.3
1035,1,35,30.5,27196,10.7,23.1
1037,1,37,19.9,35175,8.8,20.7
1039,1,39,19.2,35187,7.8,21.5
1041,1,41,22.2,34105,7,20.7
1043,1,43,16.4,40142,6.1,23.7
1045,1,45,20.1,41805,7.2,19.1
1047,1,47,31.3,27524,11.6,18.9
1049,1,49,20,36713,6.9,29.4
1051,1,51,13.4,51650,5.8,15.5
1053,1,53,27.8,33455,8.2,24.3
1055,1,55,19.6,38587,7,20.4
1057,1,57,20.7,35661,7.9,19.4
1059,1,59,23.1,33332,7.8,26.3
1061,1,61,23.6,35378,6.7,24.5
1063,1,63,35,25864,12.6,21.6
1065,1,65,25.7,33597,9.8,20.7
1067,1,67,18.2,41590,7.4,21.1
1069,1,69,18.1,39636,6.8,20.5
1071,1,71,16.9,37204,7.2,22.7
1073,1,73,18.9,45024,6.3,18.5
1075,1,75,23,36475,7.1,20.1
1077,1,77,17.1,43586,7.2,18.8
1079,1,79,17.4,40713,8.2,22.6
1081,1,81,19.8,44647,5.6,19.8
1083,1,83,15.9,50148,6.1,20.4
1085,1,85,37,29734,12.9,19.1
