f00011,f00012,f1434506,f1322610,f1322606,f1332110,f1332106,f1476310,f1416806,f0679510,f0679506
01,001,53255,53049,46491,11.9,12.5,17.4,16.5,7.8,3
01,003,50147,47618,45493,13.3,11,23.1,23.6,8.9,2.8
01,005,33219,33074,28692,25.3,28.7,23.6,19.3,11.7,5.1
01,007,41770,35472,36794,20.9,18.8,22.4,17.7,10.3,3.7
01,009,45549,42906,41494,16.5,12.8,23.9,22.9,9,2.9
01,011,31602,25969,23095,31.1,32.9,21.1,22.3,14.7,8
01,013,30659,29500,29158,28.1,22.8,21.9,17.5,12.3,5.1
01,015,38407,37916,36684,23.5,17.6,20.1,16.4,9.7,3.6
01,017,31467,30061,32014,28.5,18.3,23.7,15.4,13.7,5.2
01,019,40690,34410,37097,21.2,18.1,23,20.1,9.3,3.7
01,021,39486,38553,36717,20.4,19,25.4,19.8,9.2,3.2
01,023,31076,32003,28730,20.7,23.5,22,20,11.3,5.1
01,025,27439,33739,29659,24.9,25.6,20.9,16.9,15.6,5.6
01,027,35595,33035,32512,20.6,15.6,23,20.3,13.8,4.1
01,029,36077,37566,35119,17.8,15.9,22,19.6,8.3,3.1
01,031,42253,40779,41417,20.1,14.2,22.5,19.8,7.4,3.4
01,033,39610,37455,36690,19.2,14.4,18.1,17.1,9.8,4.1
01,035,26944,27855,25992,25.7,26.3,23.4,18,16.3,5
01,037,35560,33721,32424,18.6,16.7,20.3,19.8,12.8,5
01,039,33852,33484,30293,20.9,16.9,21.9,18.9,9.1,3.4
01,041,35140,35577,30576,20.3,20,23.1,20.7,8.7,3.6
01,043,38567,37948,35774,19.2,15.7,23.6,22,8.7,3.1
01,045,43353,41287,36969,17.8,16.9,19,18,8.5,4.2
01,047,26029,26195,26135,35.6,28.2,21,12.8,17.4,7.4
01,049,35065,34822,31613,20.8,17.1,30.3,24.3,11.6,3.7
01,051,53128,51013,50006,12.5,13,17.9,17.9,8.5,3
01,053,31927,31365,32844,26.1,22.4,24.8,19.5,11.1,4.5
01,055,36422,36088,32448,19,16.7,22.8,18.5,9.5,3.8
01,057,34560,32643,34465,27.3,16.7,21.1,17.8,11.7,3.7
01,059,33942,33649,30911,21.6,17,29.4,22.5,10.2,4.2
01,061,34140,34418,30230,20.3,19.5,24.4,20.9,8.9,3.3
01,063,22222,27117,23404,31,33.2,22.5,18.3,17.3,4.9
01,065,29299,31790,29268,24.8,24.9,21.2,17.9,13.4,4.7
01,067,38379,37851,35398,18.1,17.8,22.7,21.7,9.4,3.6
01,069,41022,39290,37415,17.9,16.3,21.2,17.7,8.4,3
01,071,36312,36158,37545,19.9,15.5,23.3,18,9.7,4
01,073,45244,41740,41731,18.6,14.3,20,15.9,9.4,3.6
01,075,33887,32993,31891,21.5,18.4,21.3,20.3,12.9,4.7
01,077,39345,39213,37801,17.6,17.1,18.6,21.7,8.8,3.7
01,079,40516,37365,37501,18.1,14.6,23.5,18.8,11,4.3
